
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;78;80;78;78;78;78;54;15;33;
Озёл;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;;
Пажга;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;1;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;4;4;4;4;;;
Палевицы;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;0;;
Шошка;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;1;1;1;;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;1;1;1;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;;1;
Ыб;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;5;5;5;5;5;5;
Муниципальный район Сысольский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;;2;2;3;3;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;6;6;3;;21;21;22;22;13;
Сельское поселение;;;;;;;;;;;;;
Визинга;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;1;1;1;1;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;6;6;6;6;;
Визиндор;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;6;6;3;;;;;;;
Вотча;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;1;;;
Куниб;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;0;0;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;0;0;
Межадор;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;1;1;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;15;15;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;70;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;2;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;123;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;12;13;12;15;15;15;8;8;8;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;42;50;45;62;60;60;31;31;33;
Городское поселение;;;;;;;;;;;;;
Благоево;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;5;5;;3;3;;;;;
Междуреченск;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;3;3;;;;;
Усогорск;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;5;5;5;5;5;5;5;5;5;
Сельское поселение;;;;;;;;;;;;;
Буткан;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;;;;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;6;6;4;4;;;;4;
Важгорт;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;1;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;4;4;4;4;4;4;
Вожский;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;10;10;;;;;
Глотово;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;3;3;3;;;;
Ёдва;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;5;5;5;5;4;4;
Ёртом (до 1 января 2018г);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;5;5;3;3;;;;;
Кослан;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;122;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;5;5;5;5;5;5;5;5;5;
Большая Пучкома;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;3;3;3;3;;;
Большая Пысса;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;5;3;;;;;
Чернутьево;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;3;3;3;3;;3;
Чим;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;3;3;3;3;3;3;3;5;3;
Чупрово;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;3;3;3;3;5;3;5;5;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;6;4;4;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;395;9;9;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;1;1;1;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;12;15;15;15;15;15;8;8;8;9;15;20;
Городское поселение;;;;;;;;;;;;;
Микунь;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;2;1;1;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;100;1;1;;;;;;;;;;
Жешарт;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;1;1;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;20;1;1;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;
Айкино;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;1;1;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;270;6;6;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;1;1;1;1;1;1;1;1;1;1;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;12;15;15;15;15;15;8;8;8;8;;;
Илья-Шор;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;1;1;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;1;1;;;;;;;;;;
Кожмудор;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;1;;;;;;;;;;;;
Усть-Вымь;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;4;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;9;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;178;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;4;;;;;;;;;1;1;2;
Число участников добровольных формирований населения по охране общественного порядка, человек;22;;;;;;;;;8;7;21;
Сельское поселение;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;5;5;5;5;5;
Вольдино;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;3;;;;;;;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;12;;;;;;;;;;;;
Нижний Воч;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;1;;;;;;;;;;;;
Керчомъя;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;2;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;1;;;;;;;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;10;;;;;;;;;;;;
Пожег;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;2;;;;;;;;;;;;
Помоздино;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;3;;;;;;;;;;;;
Руч;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;2;;;;;;;;;;;;
Тимшер;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;1;;;;;;;;;;;;
Усть-Кулом;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;163;;;;;;;;;;;;
Усть-Нем;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;2;;;;;;;;;;;;
Югыдъяг;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;2;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;1;1;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;;10;10;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;
Коровий Ручей;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;;0;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;;0;
Нерица;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;;0;
Усть-Цильма;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;1;1;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;;10;10;;;;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;
Сыктывкар;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;1;1;1;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;3;3;3;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;;;1;1;1;1;2;2;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;14;;;20;20;22;22;71;67;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;1;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;1;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;2;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;52;57;72;150;98;58;15;25;25;
Вуктыл (до 1 января 2024 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;;13;
Инта (до 1 января 2025 года);;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;38;11;8;5;3;
Усинск (до 1 января 2024 года);;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;1;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;35;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;14;83;64;57;60;35;25;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;606;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;1;;;;;;1;2;3;3;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;77;;;;;;43;87;36;68;
