
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;57;245;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;1032;509;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;9780;4262;2198;3300,4;1569,2;2575;2500;5486;4482;5558;2559,1;2516;2270;3691;3087;2136;3052;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1387;889;2198;1018,3;767,1;915;915;1860;2203;1410;1291,5;2516;2270;3691;3087;2136;3052;2710;2224;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;2710;2224;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения Княжпогостского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;178;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;355;;;;;;;;;;;;;;;;;;
Емва;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;8;25;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;630;274;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1166;3623;1900;2223;2786,2;2575;25,75;4803,19;5600;3700;2012,98;2013;1002;2686;2686;2136;2136;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1166;740;1900;203;504,1;915;25,75;935,23;1899,3;1000;1000;1000;1002;2686;2686;2136;2136;;;
Синдор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;9;153;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;228;81;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;6669;149;74;385;133,5;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;6210;149;74;385;133,5;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Княжпогостского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;67;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;154;;;;;;;;;;;;;;;;;;
Ветью (до 1 января 2018г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;0;;;;;;;;;;;;;;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;4;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;16;17;;;;;;;;;;;;;;;;;;
Иоссер;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;10;6;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;6;7;;;;;;;;;;;;;;;;;;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;4;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;24;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;24;;;;;;;;;;;;;;;;;
Мещура;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;8;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;17;29;;;;;;;;;;;;;;;;;;
Серёгово;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;40;;105;430,7;;;;;;;200;;;;151;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;40;;105;430,7;;;;;;;200;;;;151;;;;;
Тракт;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;7;11;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;28;28;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;490;;;;;;;;;;;;;;;;;;
Туръя;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;6;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;2;5;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;146;;;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;146;;;;;;;;;;;;;;;;;;;
Чиньяворык;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;8;35;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;89;51;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2089;;;;;;;;;;;;;;;;;;;
Шошка.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;3;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;16;13;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;35;;95;;;;;;;;;;;;70;;62;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;35;;95;;;;;;;;;;;;70;;62;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;50;20;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;210;247;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;1263;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1801;1587;2016;3064;1170,5;1615;1347,7;1041,8;2072;2118;1436,6;2467;1017;2201;1543;1595;1138;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1801;1587;1492;1662;1170,5;1209;1266,7;1041,8;1355;;1436,6;1502;222;2201;1543;1460;1078;1060;2373;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;1670;3636;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Койгородского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;20;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;247;;;;;;;;;;;;;;;;;;
Грива;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;50;103;66;54;105;;135,6;;233,1;;297,4;110;;;;95;99;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;50;103;66;54;105;;135,6;;233,1;;297,4;70;;;;95;99;;;
Кажым;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;20;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;16;15;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;146,3;115;;;;93,8;150,4;;;1062;;;;91;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;146,3;115;;;;93,8;150,4;;;;;;;91;;;;
Койгородок;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;15;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;100;106;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1077;1332;1688;2565;996,2;1087;866,4;948;400;;782,2;782;605;1634;1054;927;86;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1077;1332;1164;1163;996,2;1087;866,4;948;400;;782,2;782;131;1634;1054;927;86;;;
Койдин;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;7;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;41;47;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;421;92;116;145;;528;230,7;;184,3;;266,4;336;37;260;50;305;217;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;421;92;116;145;;122;230,7;;184,3;;266,4;336;37;260;50;305;217;;;
Ком ( до 1 января 2020 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;17;;;;;;;;;;;;;;;;;;
Кузьёль;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;4;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;41;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;41;;;;
Нючпас (до 1 января 2023 г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;2;2;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;34,8;1000;;;;;;;;;;
Подзь;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;10;14;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;254;60;;185;69,3;;81;;168;;90,6;177;376;187;283;135;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;254;60;;185;69,3;;;;;;90,6;177;54;187;283;;;;;
Ужга;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;8;9;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;41;42;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;34;;;;0,3;;;;47;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;34;;;;;;;;47;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;16;10;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;840;782;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;3845;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;4086;4219;3494;4908;1881,4;1653;1440;5910,6;4014,64;5373,8;9613,26;10483;5753;8041;10559;9316;11056;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;4086;2959;3494;4908;1881,4;1653;1440;2752,4;3900,6;3473,3;5244,5;4902;4712;7816;9874;8848;8039;9189;12547;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;15515;16392;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Корткеросского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;10;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;782;;;;;;;;;;;;;;;;;;
Богородск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
