
значение показателя за год
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Подзь;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;3;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Ужга;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;4;4;4;4;4;4;4;5;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;4;4;4;4;5;
Число телефонизированных объектов социальной сферы, единица;9;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;24;24;53;52;52;52;52;52;52;52;
Число телефонизированных сельских населенных пунктов, единица;46;51;51;51;51;50;50;50;43;39;
Число телефонизированных объектов социальной сферы, единица;76;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Богородск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;5;5;5;5;5;5;4;5;
Число телефонизированных сельских населенных пунктов, единица;5;5;5;5;5;5;5;5;4;4;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Большелуг;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Вомын;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Додзь;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;5;;;;;;;;;;
Керес;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;4;3;
Число телефонизированных объектов социальной сферы, единица;10;;;;;;;;;;
Корткерос;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;19;;;;;;;;;;
Намск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Маджа;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;2;1;1;1;1;1;2;2;2;1;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Мордино;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;5;5;5;5;5;5;5;5;
Число телефонизированных сельских населенных пунктов, единица;5;5;5;5;5;5;5;5;5;4;
Число телефонизированных объектов социальной сферы, единица;16;;;;;;;;;;
Нёбдино;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;6;5;5;5;5;5;5;6;3;3;
Число телефонизированных объектов социальной сферы, единица;5;;;;;;;;;;
Нившера;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;3;3;3;3;3;3;3;2;2;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Пезмег;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Подъельск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;2;1;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Подтыбок;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;10;;;;;;;;;;
Позтыкерес;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;2;2;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Приозёрный;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Сторожевск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Усть-Лэкчим;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;2;2;1;1;1;1;1;1;1;1;
Муниципальный район Печора;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;20;21;21;32;32;23;23;23;23;23;
Число телефонизированных сельских населенных пунктов, единица;23;32;32;31;31;28;28;28;28;28;
Число телефонизированных объектов социальной сферы, единица;144;;;;;;;;;;
Городское поселение;;;;;;;;;;;
Печора;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;;;;9;9;;;;;;
Число телефонизированных сельских населенных пунктов, единица;;4;4;3;3;;;;;;
Кожва;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;2;6;6;6;6;6;6;6;6;6;
Число телефонизированных объектов социальной сферы, единица;23;;;;;;;;;;
Путеец;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;5;5;5;5;5;5;5;5;5;
Число телефонизированных сельских населенных пунктов, единица;4;5;5;5;5;5;5;5;5;5;
Число телефонизированных объектов социальной сферы, единица;12;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Каджером;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных объектов социальной сферы, единица;20;;;;;;;;;;
Озёрный;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных объектов социальной сферы, единица;28;;;;;;;;;;
Приуральское;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;10;;;;;;;;;;
Чикшино;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;24;88;88;88;88;88;88;85;85;84;
Число телефонизированных сельских населенных пунктов, единица;88;85;85;85;85;85;85;82;82;82;
Число телефонизированных объектов социальной сферы, единица;137;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Ваймес (до  1 января 2017г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Вухтым;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;11;;;;;;;;;;
Гурьевка;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Занулье;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Летка;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;7;7;7;7;7;7;7;7;7;7;
Число телефонизированных сельских населенных пунктов, единица;7;7;7;7;7;7;7;7;7;7;
Число телефонизированных объектов социальной сферы, единица;9;;;;;;;;;;
Лойма;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;16;16;16;16;16;16;16;16;16;16;
Число телефонизированных сельских населенных пунктов, единица;16;16;16;16;16;16;16;16;16;16;
Число телефонизированных объектов социальной сферы, единица;11;;;;;;;;;;
Мутница;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;12;;;;;;;;;;
Ношуль;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;9;9;9;15;15;15;15;14;14;14;
Число телефонизированных сельских населенных пунктов, единица;9;9;9;15;15;15;15;14;14;14;
Число телефонизированных объектов социальной сферы, единица;10;;;;;;;;;;
Объячево;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;12;12;12;17;17;17;20;20;20;20;
Число телефонизированных сельских населенных пунктов, единица;12;12;12;17;17;17;20;20;20;20;
Прокопьевка;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;1;1;1;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Слудка.;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;3;
Число телефонизированных сельских населенных пунктов, единица;4;3;3;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;16;;;;;;;;;;
Спаспоруб;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;7;8;8;8;8;8;8;7;7;7;
Число телефонизированных сельских населенных пунктов, единица;7;7;7;7;7;7;7;7;7;7;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Черёмуховка;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;3;3;3;3;3;3;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;3;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;16;;;;;;;;;;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;;;;;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;;;;;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Читаево (до 1 января 2017г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;5;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;5;5;5;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;16;16;17;17;16;16;16;14;15;15;
Число телефонизированных сельских населенных пунктов, единица;15;15;17;17;16;16;16;14;15;15;
Число телефонизированных объектов социальной сферы, единица;108;;;;;;;;;;
Городское поселение;;;;;;;;;;;
Сосногорск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;12;12;12;12;11;11;11;11;11;11;
Число телефонизированных сельских населенных пунктов, единица;11;11;12;12;11;11;11;11;11;11;
Число телефонизированных объектов социальной сферы, единица;84;;;;;;;;;;
Войвож;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;3;3;3;3;3;2;3;3;
Число телефонизированных сельских населенных пунктов, единица;2;2;3;3;3;3;3;2;3;3;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Нижний Одес;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;1;1;1;
Число телефонизированных объектов социальной сферы, единица;18;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;44;49;49;43;45;45;45;45;45;45;
Число телефонизированных сельских населенных пунктов, единица;44;48;45;43;45;45;45;45;45;45;
Число телефонизированных объектов социальной сферы, единица;73;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Выльгорт;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;17;;;;;;;;;;
Зеленец;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;2;3;2;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Лэзым;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;;1;1;1;1;1;1;1;1;1;
Мандач;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Нювчим;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Озёл;;;;;;;;;;;
