
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Кажым;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2366;2366;2366;2366;2366;51927;51927;51927;51927,5;51927,5;2398;3115;3115;3115;3115;3115;3115;207451;
Койгородок;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;877;877;877;877;877;80192;80192;80192;80192;80192;80192;80192;80192;80192;80192;80192;80192;80192;
Койдин;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;638;638;638;638;638;37194;37194;644;644;644;638;644;644;644;644;644;644;37164;
Ком ( до 1 января 2020 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;277;277;277;277;255;70237;70237;70237;70237;70237;70237;260;260;260;260;;;;
Кузьёль;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1337;1337;1337;1337;1337;184884;184884;184884;184884;184884;184884;1337;1337;1337;1337;1597;1597;264477;
Нижний Турунъю (до 1 января 2017г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;717;717;717;717;717;155524;155524;155524;155524;155524;717;;;;;;;;
Нючпас (до 1 января 2023 г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;166;166;166;166;166;90428;90428;90428;90428;90428;90428;166;166;166;166;166;166;;
Подзь;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1969;1969;1969;1969;1969;215775;215775;215775;215775;215775;2031;2031;2031;2031;2031;2031;2031;215781;
Ужга;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;484;484;484;484;484;112059;112059;112059;112059;112059;497;497;497;497;497;497;497;202451;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1974822;1974822;1974822;1974822;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;1974835;
Богородск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;213,8;209,5;210;210;210;210;492;492;492;492;492;492;307;8206;8206;8206;8206;8206;
Большелуг;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1453;1453;1453;1453;1453;1453;1453;1453;1453;1453;1453;1453;4387;4387;4387;4387;4387;4387;
Вомын;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;1542,8;4078;4078;4078;4078;4078;4078;4078;
Додзь;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;596,8;596,8;1460;1460;1460;1460;1460;1460;1460;1460;1460;1460;3601;3601;3601;3601;3601;3601;
Керес;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;524;524;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;4062;4062;4062;4062;4062;4062;
Корткерос;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;983,8;2866;2866;2866;2866;2866;2866;2866;2866;2866;2866;2866;6618;6618;6618;6618;6618;6618;
Намск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2313;385;385;385;385;385;385;385;385;385;385;385;388;2316;2316;2316;2316;2316;
Маджа;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;127,6;127,6;130;153,19;153,19;153,19;153,19;153,19;153,19;153,19;153,19;153;153,2;153,2;2557;2557;2557;2557;
Мордино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;845;1801;1801;1801;1801;1801;1801;1801;1801;1801;1801;1801;1801;8381;8381;8381;8381;8381;
Нёбдино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;83,2;1162;1153;1153;1153;1153;1159;1159;1159;1159;1159;1159;5542;5542;5542;5542;5542;5542;
Нившера;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;382;382;353;353;353;353;353;353;353;373;373;3602;3602;3602;3602;3602;3602;3602;
Пезмег;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;638;638;638;638;638;638;638;638;638;638;638;704;704;3116;3116;3116;3116;3116;
Подъельск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;323,5;396;396;396;396;396;396;396;396;396;498;587;483;3127;3127;3127;3127;3127;
Подтыбок;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1134;1134;1152;1152;1152;1134;46,83;46,83;46,83;46,83;46,83;1152;1152;1152;1152;1152;1152;1152;
Позтыкерес;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;297;297;270;270;270;270;270;270;270;270;270;270;290;2650;2650;2650;2650;2650;
Приозёрный;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;563;563;563;563;563;563;563;563;563;563;563;452,7;5782;5782;5782;5782;5782;5782;
Сторожевск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1961;1942;1942;1961;1961;1961;1961;1961;1961;1961;1961;1961;1961;5553;5553;5553;5553;5553;
Усть-Лэкчим;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2808,1;2808,2;27,7;27,7;27,7;27,7;391;391;391;390;390;391;2814;2814;2814;2814;2814;2814;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;2892282;
Печора;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;470567;
Изъяю (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;88152;88152;88152;88152;88152;88152;;;;;;;;;;;;;
Кожва;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;50386;50386;50386;50386;50386;50386;163288;163288;163288;163288;163288;163288;163288;163288;163288;163288;163288;163288;
Путеец;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;83179;83179;83179;83179;83179;83179;438420;438420;438420;438420;438420;438420;438420;438420;438420;438420;438420;438420;
Берёзовка (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;417970;417970;417970;417970;;;;;;;;;;;;;;;
Зеленоборск (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;249209;249209;249209;249209;249209;249209;;;;;;;;;;;;;
Каджером;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;435546;435546;435546;435546;435546;435546;684755;684755;684755;684755;684775;684755;684755;684755;684755;684755;684755;684755;
Кедровый Шор (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;193905;195047;195047;193905;193905;193905;;;;;;;;;;;;;
Косью (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;76564;76564;76564;76564;76564;76564;;;;;;;;;;;;;
Красный Яг (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;13368;13368;13368;13368;13368;13368;;;;;;;;;;;;;
Озёрный;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2939;2939;2939;2939;2939;2939;210212;210212;210212;210212;210939;210939;210212;210212;210212;210212;210212;210212;
Приуральское;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;323445;322303;322303;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;323445;
Соколово (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;24750;24750;24750;24750;24750;24750;;;;;;;;;;;;;
Сыня (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;278677;278677;278677;278677;278677;278677;;;;;;;;;;;;;
Чикшино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;183625;183625;183625;183625;601595;601595;601595;601595;601595;601595;601595;604648;601595;601595;601595;601595;601595;601595;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1316848;1316848;1316848;1324633,3;1316848;1316848;1316848;1316848;1316848;1316847,8;1316847,8;1316848;1316847,8;1316847,8;1316847,8;1316848;1316848;1316848;
Ваймес (до  1 января 2017г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;468;1983;1983;99892;99,89;92436;92436;92436;92436;92436;92436;;;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;211;1598;1598;144567,8;144567,8;144567,8;144567,8;144567,8;144567,8;144567,8;144567,8;;;;;;;;
Вухтым;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1091;1091;1091;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;58741,4;
Гурьевка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;280;1050;1050;13133,4;13133,4;13133,4;13133,4;13133,4;13133,4;13133,4;13133,4;13133;13133;13133;13133;13133;13133;13133;
Занулье;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;150;412;412;34487;412;34063;34063;412;34063;34063;34063;34063;34063;34063;34063;34063;34063;34063;
Летка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;634;2415;2415;148553,2;148646,8;148646,8;148646,8;148646,8;147800;148646,8;148646,8;148646,8;148646,8;148646,8;148646,8;148646,8;148646,8;148646,8;
Лойма;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1087;1892;1892;121399,6;121399,6;121399,6;121399,6;121399,6;1213399,6;121399,6;121399,6;121399,6;121399,6;121399,6;121399,6;121399,6;121399,6;121399,6;
Мутница;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;187;760;760;14255,8;14255,8;14255,8;14255,8;14255,8;14255,8;14255,8;14255,8;14256;14256;14256;14256;14256;14256;14256;
Ношуль;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;809;3015;3015;175849,1;175849,1;175849,1;175849,1;175849,1;175849,1;175849;175849;412853;412853;412853;412853;412853;412853;412853;
Объячево;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1485;1485;1485;205314,7;1205315,6;205315,6;205315,6;205315,6;205315,6;205315,6;205315,6;232430;232430;232430;275136;275136;275136;275136;
Прокопьевка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;260;496;496;25166,3;25166,3;25166,3;25166,3;25166,3;25166,3;25166,3;25166,3;25166;25166;25166;25166;25166;25166;25166;
Слудка.;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;301;301;301;17711,1;17711,1;17711,1;17711,1;17711,1;17711,1;17711;17711,1;17711;17711;17711;17711;17711;17711;17711;
Спаспоруб;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1199;4224;4224;162721,3;162721,3;162721,3;162721,3;162721,3;162721,3;162721,3;162721,3;162721;162721;162721;162721;162721;162721;162721;
Черёмуховка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;582;1442;1442;33020,5;33020,5;33020,5;33020,5;33020,5;33020,5;33020,5;33020,5;33021;33021;33021;33021;33021;33021;33021;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;324;2782;2782;42705,8;42705,8;42705,8;42706;42706;42706;42706;42706;42706;42706;42706;;;;;
Читаево (до 1 января 2017г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;219;1551;1551;27114,3;27114,3;27114,3;27114,3;27114,3;27114,3;27114,3;27114,3;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1656293;1656293;1656979;1656293;1656293;1656293;1656293;1656293;1716983;1656293;1656293;1656293;1656293;1656293;1656293;1656293;1656293;1656293;
Сосногорск;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;926816;926816;927502;927502;927502;927502;927502;1139169;1139169;1139169;1139169;1139169;1139169;1139169;1139169;1139169;1139169;1139169;
Войвож;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;139750;139750;139750;139750;139750;139750;139750;139750;200440;139750;139750;139750;139750;139750;139750;139750;139750;139750;
Нижний Одес;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;377374;
Верхнеижемский  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;31724;31724;31724;31724;31724;31724;31724;;;;;;;;;;;;
Вис  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;18245;18245;18245;18245;18245;18245;18245;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;34264;34264;34264;34264;34264;34264;34264;;;;;;;;;;;;
Керки  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;21724;21724;21724;21724;21724;21724;21724;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;24107;24107;24107;24107;24107;24107;24107;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;34044;34044;34044;34044;34044;34044;34044;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;48245;48245;48245;47559;47559;47559;47559;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
